0,1.084,102.8
0.033,0.357,103.5
0.067,0.357,103.5
0.1,-1.838,103.6
0.133,-4.033,103.6
0.167,-6.96,103.6
0.2,-12.82,102.2
0.233,-17.95,102.2
0.267,-24.54,101.5
0.3,-31.12,101.6
0.333,-40.64,100.9
0.367,-47.96,100.9
0.4,-57.47,100.3
0.433,-67.72,100.4
0.467,-77.23,100.4
0.5,-86.01,100.5
0.533,-96.99,100.6
0.567,-106.5,102.1
0.6,-116,102.2
0.633,-123.3,102.9
0.667,-132.8,103.7
0.7,-139.4,103.8
0.733,-145.3,104.6
0.767,-151.1,105.3
0.8,-156.2,105.4
0.833,-159.1,106.1
0.867,-160.6,106.1
0.9,-160.6,106.1
0.933,-160.6,106.1
0.967,-159.1,106.1
1,-156.2,106.1
1.033,-152.6,106.1
1.067,-147.4,105.3
1.1,-141.6,105.3
1.133,-133.6,103.7
1.167,-126.2,103
1.2,-118.2,102.9
1.233,-107.9,102.8
1.267,-98.44,101.3
1.3,-89.66,101.2
1.333,-79.42,101.2
1.367,-70.64,100.4
1.4,-60.39,101.8
1.433,-50.88,101.7
1.467,-41.37,101.6
1.5,-35.51,102.3
1.533,-26.73,102.3
1.567,-20.87,102.2
1.6,-13.55,102.9
1.633,-8.423,103.6
1.667,-4.033,103.6
1.7,-1.838,103.6
1.733,0.357,103.5
1.767,0.357,103.5
1.8,-1.838,103.6
1.833,-2.57,103.6
1.867,-5.497,103.6
1.9,-9.892,102.9
1.933,-15.01,102.9
1.967,-22.33,103
2,-27.45,103
2.033,-34.77,103.1
2.067,-42.82,102.4
2.1,-53.08,101
2.133,-61.13,101
2.167,-72.1,101.1
2.2,-81.61,101.2
2.233,-91.13,101.3
2.267,-100.6,101.3
2.3,-110.1,102.1
2.333,-119.7,102.9
2.367,-128.4,103.7
2.4,-135.7,104.5
2.433,-143.1,105.3
2.467,-148.9,106
2.5,-152.6,106.1
2.533,-156.9,107.6
2.567,-159.1,107.6
2.6,-161.3,107.6
2.633,-161.3,107.6
2.667,-159.1,107.6
2.7,-156.9,106.8
2.733,-154,106.8
2.767,-148.9,106.8
2.8,-143.8,106
2.833,-137.9,105.2
2.867,-129.9,104.4
2.9,-123.3,103.7
2.933,-114.5,102.9
2.967,-104.3,102.1
3,-94.05,102
3.033,-85.27,101.9
3.067,-74.3,101.1
3.1,-65.52,101.1
3.133,-55.27,101
3.167,-47.22,100.9
3.2,-38.44,101.6
3.233,-31.12,102.3
3.267,-23.07,102.2
3.3,-17.95,102.2
3.333,-12.09,102.9
3.367,-5.502,102.8
3.4,-1.838,103.6
3.433,-1.838,103.6
3.467,0.357,103.5
3.5,-1.106,103.5
3.533,-3.302,103.6
3.567,-4.765,103.6
3.6,-7.692,103.6
3.633,-12.08,103.6
3.667,-17.21,102.9
3.7,-22.34,102.2
3.733,-31.12,101.6
3.767,-36.98,101.6
3.8,-47.22,100.9
3.833,-56.74,100.3
3.867,-64.79,100.3
3.9,-75.03,100.4
3.933,-84.55,100.5
3.967,-95.52,100.5
4,-104.3,101.3
4.033,-113.8,101.4
4.067,-123.3,102.2
4.1,-129.9,102.3
4.133,-136.5,103
4.167,-145.3,103.8
4.2,-148.9,103.8
4.233,-154,104.6
4.267,-157,104.6
